Fecha_reporte;MT;Tipo_Mineral;Tonelaje;Ali_Cu;Ali_Pb;Ali_Zn;Ali_Fe;NaCN;ZnSO4;PAX;F582;pH;Flo1_Cu;Flo1_Pb;Flo1_Zn;Flo1_Fe;Cu;Zn;Recup_Cu;CuSO4;SIPX;F582;pH;Flo2_Cu;Flo2_Pb;Flo2_Zn;Flo2_Fe;Cu;Zn;Recup_Zn
21-Oct-08;MT-824;M4A;30926;1.41;0.04;1.4;6.78;50;200;14;10;9.65;20.45;0.27;4.73;16.37;64.67782034;63.59701108;72.1;200;15;10;11.05;5.91;0.09;39.4;6.22;12.47335912;87.84134442;83.7
21-Oct-08;MT-827;M4;22601;2.85;0.01;1.38;12.62;30;200;22;10;10.17;20.11;0.05;10.88;20.15;80.44504618;70.24032497;76.7;200;15;10;11.04;4.84;0.04;1.57;19.81;3.909675967;2.046753009;1.4
21-Oct-08;MT-828;M4A;31163;0.52;0.16;2.8;4.88;20;250;9;10;9.7;10.78;5.33;4.76;10.99;43.10449063;3.589691778;41.1;250;25;;10.83;2.98;0.41;38.4;6.01;35.86116383;87.15369238;83.9
21-Set-08;MT-820;M4A;135491;0.84;0.15;2.38;11.48;10;220;5;;9.5;21.22;4.52;7.5;20.84;76.66478791;9.672866959;75;220;15;5;11.3;2.44;0.14;37.1;8.43;12.95487595;70.31706481;68
23-Set-08;MT-821;M4;86651;0.98;0.2;4.43;9.52;10;300;10;15;9.8;16.88;4.4;7.34;20.04;64.10222238;6.023547224;62;300;30;5;11.15;2.76;0.16;39.45;12.13;26.03249714;80.40987191;80
18-Nov-08;MT-834;M6;55888;1.6;0.03;2.25;5.16;150;250;30;10;9.8;27.92;0.4;3.37;8.36;84.07060659;7.549554325;82;250;20;5;10.93;2.08;0.04;29.1;3.31;7.326803897;76.26176782;72
19-Nov-08;MT-856;M4;40601;2.16;0.05;1.23;20.1;20;200;10;5;10.32;19.07;0.38;6.79;24.41;83.20724698;50.02852891;80;200;15;5;11.51;5.4;0.15;3.05;19.41;10.22193912;9.749377079;9
20-Nov-08;MT-865;M4;44276;0.73;0.44;2.03;14.69;10;200;5;7;10.5;17.2;12.1;3.4;19.2;71.4;4.9;69;200;12;10;11.7;2.5;0.8;36.9;8.8;13;68.6;66
21-Nov-08;MT-873;M4A;0;0.73;0.43;6.36;9.8;30;300;8;;10.04;11.64;7.11;23.6;15.22;17.99553063;4.208239785;17.2;300;50;10;11.03;2.73;1.23;33.25;15.79;61.00687271;85.70073839;50
27-Dic-08;MT-874;M4A;0;0.88;0.37;6.3;12.11;30;300;9;;10.2;13.42;4.26;26.52;16.73;45.60067682;12.63891143;43;300;50;10;11.2;2.01;0.29;30.75;20.84;34.43992538;73.89731217;46.1
27-Dic-08;MT-875;M4A;0;0.61;0.24;3.6;12.29;20;270;6;;10.2;13.12;4.56;24.16;17.03;48.57090915;16.15759193;16.3;270;30;10;11.18;1.25;0.25;17.4;30.54;27.73439437;69.74213369;35.4
27-Dic-08;MT-876;M4A;0;0.71;0.1;3.86;14.23;30;280;7;;10.21;17.08;2.03;23.88;17.21;52.19593666;12.95448026;49.8;280;25;10;11.53;1.36;0.12;19.2;29.4;26.75064106;67.03989978;36
27-Dic-08;MT-877;M4A;0;1.13;0.15;4.35;8.26;30;300;11;;9.81;20.72;1.86;14.72;13.86;38.07612305;8.085732744;36.6;300;35;10;11.22;6.51;0.43;41.35;10.21;43.10112032;81.8336055;48
5-Ene-09;MT-880;M4;75829;0.5;0.26;1.88;10.8;10;180;12;10;9.5;13;8.8;5.4;15.6;63.3;7.2;60.4;200;15;;11.5;2.1;0.3;43.9;6.8;14.7;83.2;78.9
9-Ene-09;MT-887;M4A;0;0.71;0.51;3.28;10.65;10;250;8;10;9.54;13.96;10.6;8.99;15.91;67.00982495;8.663264581;64;280;23;5;11.2;2.25;0.56;45.8;11.21;18.36706556;75.05706145;72
29-Ene-09;MT-896;M4A;70635;0.79;0.44;2.16;18.69;20;200;6;10;10.52;10.52;7.82;4.24;18.7;67.91810278;9.936869822;65;220;16;5;11.42;3.04;0.34;47.25;7.69;13.23421987;74.6690305;72
